Price,Make,Model,Year,Mileage,Engine_size,Fuel_type,Transmission,Drive,Body_type
20999,BMW,5 SERIES,2015,1111111,2,diesel,automatic,rear,sedan
16899,BMW,3 SERIES,2015,145000,2,benzin,automatic,rear,sedan
12600,TOYOTA,COROLLA,2016,146000,1.4,diesel,manual,front,sedan
18500,HONDA,ACCORD,2018,147000,2,hybrid,automatic,front,sedan
9990,DACIA,DUSTER,2015,169,1.5,diesel,manual,front,crossover
16990,NISSAN,QASHQAI,2017,44000,1.5,diesel,manual,front,crossover
21700,VOLKSWAGEN,PASSAT,2017,225000,2,diesel,automatic,4x4,sedan
9500,VOLKSWAGEN,GOLF,2015,177000,1.4,benzin,automatic,front,sedan
14700,DACIA,DUSTER,2018,151000,1.5,diesel,manual,4x4,crossover
21000,TOYOTA,RAV4,2016,50000,2,benzin,cvt,4x4,crossover
12200,DACIA,DUSTER,2018,166000,1.5,diesel,automatic,4x4,crossover
17299,FORD,FUSION,2018,85000,1.9,hybrid,cvt,front,sedan
16500,VOLKSWAGEN,PASSAT,2015,234000,2,diesel,automatic,front,universal
13890,TOYOTA,AURIS,2018,184000,1.4,diesel,manual,front,hatchback
18500,HYUNDAI,TUCSON,2017,98000,2,gas/benzin,automatic,4x4,crossover
72999,MERCEDES,S CLASS,2017,104541,2.9,diesel,automatic,4x4,sedan
20490,LAND ROVER,DISCOVERY SPORT,2016,193000,1.9,diesel,automatic,4x4,crossover
69900,AUDI,A8,2018,39000,3,benzin,automatic,4x4,sedan
32400,VOLVO,XC 60,2017,143000,2,diesel,automatic,4x4,suv
20499,CHEVROLET,CAPTIVA,2017,31824,2.2,diesel,automatic,4x4,crossover
14800,VOLVO,V40,2016,148000,2,diesel,automatic,front,hatchback
55000,BMW,5 SERIES,2020,14000,1.9,diesel,automatic,4x4,sedan
14500,TOYOTA,YARIS,2020,12000,1.4,hybrid,automatic,front,hatchback
38500,AUDI,Q7,2015,124000,2.9,benzin,automatic,4x4,crossover
19000,BMW,3 SERIES,2018,22000,1.9,benzin,automatic,rear,sedan
38900,LEXUS,RX,2016,132000,3.4,hybrid,automatic,4x4,crossover
39499,LAND ROVER,DISCOVERY,2017,117000,3,diesel,automatic,4x4,suv
76900,MERCEDES,GLE,2021,8000,3,benzin,automatic,4x4,suv
18000,TOYOTA,CAMRY,2018,180000,2.5,hybrid,automatic,front,sedan
34900,BMW,6 SERIES,2016,150000,2.9,diesel,automatic,4x4,sedan
11900,RENAULT,MEGANE,2017,120000,1.5,diesel,automatic,front,universal
34900,BMW,5 SERIES,2018,110000,2,diesel,automatic,4x4,sedan
26500,VOLVO,S90,2016,129000,2,benzin,automatic,4x4,sedan
35500,BMW,5 SERIES,2019,83000,2,diesel,automatic,4x4,sedan
3200,DACIA,LOGAN,2017,166888,1,gas/benzin,manual,front,sedan
16499,MERCEDES,CLA,2017,49000,2,benzin,automatic,front,sedan
7900,RENAULT,CLIO,2018,17500,1.2,benzin,manual,front,universal
12300,RENAULT,KADJAR,2015,160500,1.5,diesel,automatic,front,crossover
20999,BMW,5 SERIES,2015,111111,2,diesel,automatic,rear,sedan
11200,DACIA,DUSTER,2015,157000,1.5,diesel,manual,4x4,crossover
9400,TOYOTA,AURIS,2015,142580,1.4,diesel,manual,front,universal
24950,MITSUBISHI,PAJERO SPORT,2017,58000,2.4,diesel,automatic,4x4,suv
18000,SKODA,SUPERB,2016,141000,2,diesel,automatic,front,sedan
17750,NISSAN,X-TRAIL,2016,94842,1.5,diesel,automatic,front,crossover
17500,SKODA,SUPERB,2016,131000,1.6,diesel,automatic,front,hatchback
15600,RENAULT,TALISMAN,2016,145500,1.4,diesel,automatic,front,universal
8500,DACIA,DOKKER VAN,2016,132325,1.5,diesel,manual,front,wagon
21500,HYUNDAI,TUCSON,2018,33000,1.6,benzin,automatic,4x4,crossover
8000,RENAULT,MEGANE,2015,189000,1.4,diesel,manual,front,universal
11900,FORD,FUSION,2017,140000,1.9,hybrid,automatic,front,sedan
17500,HONDA,ACCORD,2016,112623,1.9,hybrid,automatic,front,sedan
23500,HYUNDAI,SANTA FE,2015,180000,2.2,diesel,automatic,4x4,crossover
17900,VOLKSWAGEN,GOLF,2019,3500,2,benzin,automatic,front,hatchback
25500,MERCEDES,GLC,2016,71442,2,benzin,automatic,rear,crossover
21000,HYUNDAI,TUCSON,2017,73470,1.7,diesel,automatic,front,suv
10800,MAZDA,3,2016,83100,1.5,benzin,manual,front,sedan
14000,RENAULT,KADJAR,2017,121630,1.5,diesel,manual,front,suv
12900,NISSAN,QASHQAI,2017,71000,1.5,diesel,manual,front,crossover
10700,FORD,FOCUS,2015,192368,1.4,diesel,automatic,front,universal
17500,LEXUS,IS,2016,145000,2.5,hybrid,automatic,rear,sedan
33800,BMW,5 SERIES,2017,93000,1.9,diesel,automatic,rear,sedan
5200,MITSUBISHI,SPACE STAR,2017,131000,1,benzin,manual,front,hatchback
16700,KIA,SORENTO,2021,14637,1.6,hybrid,automatic,front,crossover
19499,VOLKSWAGEN,TIGUAN,2018,85127,2,benzin,automatic,4x4,crossover
6490,DACIA,SANDERO,2017,1,1.2,benzin,manual,front,hatchback
6700,RENAULT,CLIO4,2015,231431,1.5,diesel,manual,front,universal
46000,PORSCHE,MACAN,2017,60700,2.9,benzin,automatic,4x4,crossover
13790,NISSAN,QASHQAI,2017,156700,1.5,diesel,manual,front,crossover
13200,TOYOTA,AURIS,2015,160000,1.8,hybrid,automatic,front,hatchback
16999,FORD,KUGA,2017,163123,1.5,diesel,automatic,front,crossover
18600,AUDI,Q5,2016,156700,2,benzin,automatic,4x4,crossover
12490,HONDA,CIVIC,2017,35000,2,benzin,automatic,front,sedan
49990,BMW,7 SERIES,2016,135000,3,diesel,automatic,4x4,sedan
12800,BMW,3 SERIES,2015,99998,1.5,benzin,automatic,rear,sedan
22000,HYUNDAI,SANTA FE,2015,113568,2.2,diesel,automatic,4x4,crossover
9100,NISSAN,PULSAR,2016,173000,1.5,diesel,manual,front,hatchback
14600,BMW,4 SERIES,2015,210000,2,benzin,automatic,rear,sedan
17799,RENAULT,KADJAR,2017,126865,1.5,diesel,automatic,front,crossover
11500,NISSAN,QASHQAI,2016,186000,1.5,diesel,manual,front,crossover
15300,DACIA,DUSTER,2020,4900,1.5,diesel,manual,front,crossover
31500,MERCEDES,GLE,2016,126000,2.1,diesel,automatic,4x4,suv
10990,FORD,C-MAX,2016,160400,1.5,diesel,automatic,front,universal
12950,FORD,MONDEO,2016,169300,1.5,diesel,manual,front,hatchback
13950,FORD,FUSION,2016,143000,2,hybrid,automatic,front,sedan
14250,DACIA,DUSTER,2018,112100,1.5,diesel,manual,4x4,crossover
23800,LAND ROVER,DISCOVERY SPORT,2016,148700,2,diesel,automatic,4x4,suv
19500,TOYOTA,C-HR,2018,106102,1.8,hybrid,automatic,front,crossover
37950,TOYOTA,HILUX,2020,11000,2.4,diesel,automatic,4x4,pickup
16900,NISSAN,X-TRAIL,2015,78000,1.6,diesel,automatic,front,suv
8600,SKODA,RAPID,2018,1,1.4,diesel,manual,front,sedan
8100,RENAULT,MEGANE,2016,270000,1.5,diesel,automatic,front,universal
10350,FORD,GRAND C-MAX,2016,169900,1.5,diesel,manual,front,minivan
54900,JAGUAR,F-TYPE,2019,27,2,benzin,automatic,rear,roadster
11590,SKODA,OCTAVIA,2015,159600,1.6,diesel,manual,front,universal
18990,DS,3 CROSSBACK,2020,23,1.1,benzin,automatic,front,crossover
15790,NISSAN,X-TRAIL,2016,164700,1.6,diesel,manual,front,crossover
10950,FORD,MONDEO,2015,178300,1.5,diesel,manual,front,universal
10950,NISSAN,QASHQAI,2015,96000,1.2,benzin,automatic,front,crossover
33500,BMW,5 SERIES,2017,88000,2,diesel,automatic,4x4,sedan
14400,FORD,MONDEO,2016,83000,2,hybrid,automatic,front,sedan
22499,LAND ROVER,DISCOVERY SPORT,2016,119273,2,diesel,automatic,4x4,suv
20999,SKODA,SUPERB,2016,102000,2,diesel,automatic,front,sedan
10500,TOYOTA,AURIS,2016,166800,1.4,diesel,manual,front,universal
15490,NISSAN,QASHQAI,2018,148100,1.5,diesel,manual,front,crossover
16699,HONDA,CR-V,2016,210000,1.6,diesel,manual,front,crossover
13250,RENAULT,KADJAR,2016,169100,1.5,diesel,automatic,front,suv
15490,KIA,NIRO,2017,85700,1.6,hybrid,automatic,front,crossover
14290,NISSAN,QASHQAI,2017,155100,1.5,diesel,manual,front,crossover
15150,NISSAN,QASHQAI,2017,122000,1.5,diesel,manual,front,suv
12390,TOYOTA,AURIS,2015,117000,1.8,hybrid,automatic,front,hatchback
22650,BMW,X1,2019,118800,1.5,diesel,automatic,front,crossover
15290,NISSAN,QASHQAI,2017,101600,1.5,diesel,manual,front,crossover
18290,HYUNDAI,TUCSON,2018,128900,1.6,diesel,manual,front,crossover
11890,VOLKSWAGEN,PASSAT,2015,231000,1.6,diesel,manual,front,universal
17990,FORD,KUGA,2017,148200,1.5,diesel,automatic,front,crossover
12590,NISSAN,QASHQAI,2017,167500,1.5,diesel,manual,front,crossover
12850,NISSAN,QASHQAI,2016,148700,1.5,diesel,manual,front,crossover
13450,NISSAN,QASHQAI,2016,98600,1.5,diesel,manual,front,crossover
12450,NISSAN,QASHQAI,2015,175300,1.5,diesel,manual,front,suv
21500,VOLKSWAGEN,PASSAT,2015,289000,2,diesel,automatic,4x4,sedan
8499,CHEVROLET,MALIBU,2016,72000,2.5,benzin,automatic,front,sedan
9699,CHEVROLET,CRUZE,2018,47000,1.4,benzin,automatic,front,sedan
9899,RENAULT,GRAND SCENIC,2015,166000,1.5,diesel,automatic,front,universal
9800,DACIA,LOGAN MCV,2018,115000,1.5,diesel,manual,front,universal
12200,MERCEDES,B CLASS,2015,200,1.5,diesel,automatic,front,hatchback
13900,TOYOTA,AURIS,2018,179000,1.8,hybrid,automatic,front,hatchback
17700,HONDA,CR-V,2016,148000,1.6,diesel,manual,front,crossover
23800,VOLVO,XC 60,2017,189000,2.4,diesel,automatic,4x4,suv
28000,MERCEDES,VITO,2016,160202,2.2,diesel,automatic,rear,minivan
14900,FORD,FUSION,2017,123000,2,hybrid,automatic,front,sedan
16500,HONDA,CR-V,2015,163500,1.6,diesel,manual,front,crossover
33000,ALFA ROMEO,STELVIO,2017,71000,1.9,benzin,automatic,4x4,crossover
13950,MITSUBISHI,ECLIPSE CROSS,2018,137200,1.4,benzin,automatic,4x4,suv
16999,VOLKSWAGEN,GOLF,2018,91000,2,benzin,automatic,front,hatchback
17500,AUDI,A3 E-TRON,2017,106000,1.4,hybrid,automatic,front,hatchback
29999,DODGE,RAM,2017,170000,3,diesel,automatic,4x4,pickup
17390,FORD,KUGA,2017,80500,1.5,diesel,automatic,front,suv
8200,RENAULT,KANGOO,2015,153325,1.5,diesel,manual,front,wagon
16500,SKODA,SUPERB,2017,159325,1.6,diesel,automatic,front,universal
15500,RENAULT,KADJAR,2018,159000,1.5,diesel,manual,front,crossover
8900,DACIA,DOKKER VAN,2017,107325,1.5,diesel,manual,front,wagon
19490,TOYOTA,C-HR,2017,65600,1.8,hybrid,automatic,front,crossover
11500,FORD,MONDEO,2016,126325,1.5,diesel,manual,front,universal
18500,HYUNDAI,TUCSON,2018,40000,1.6,benzin,automatic,front,suv
9990,RENAULT,MEGANE,2017,48000,1.2,benzin,manual,front,universal
25400,AUDI,A4,2017,55026,2,benzin,automatic,4x4,sedan
13500,TOYOTA,PRIUS +,2017,124500,1.8,hybrid,cvt,front,minivan
19999,VOLKSWAGEN,PASSAT,2015,144219,1.6,diesel,automatic,front,sedan
15499,HYUNDAI,SONATA,2016,33344,1.9,hybrid,automatic,front,sedan
9700,FORD,FOCUS,2017,180596,1.5,diesel,manual,front,universal
14800,BMW,3 SERIES,2015,168007,2,benzin,automatic,rear,sedan
14399,BMW,2 SERIES,2017,163,1.5,diesel,automatic,front,hatchback
12300,RENAULT,TALISMAN,2016,160000,1.5,diesel,manual,front,universal
13500,NISSAN,QASHQAI,2016,132000,1.2,benzin,automatic,front,crossover
11900,VOLVO,V40,2015,170000,2,diesel,manual,front,crossover
27900,MERCEDES,E-CLASS,2018,140000,2.2,diesel,automatic,rear,sedan
9800,FORD,FOCUS,2015,177580,1.4,diesel,automatic,front,universal
11000,PEUGEOT,308,2016,34000,1.2,benzin,manual,front,hatchback
11450,DACIA,DUSTER,2018,141300,1.5,diesel,manual,front,crossover
7190,RENAULT,MEGANE,2015,158000,1.5,diesel,manual,front,universal
28750,HYUNDAI,SANTA FE,2018,46385,2.1,diesel,automatic,4x4,suv
8200,RENAULT,KANGOO,2018,101240,1.5,diesel,manual,front,wagon
12000,OPEL,ASTRA,2017,235,1.6,diesel,manual,front,universal
22950,MERCEDES,A-CLASS,2018,148000,1.5,diesel,automatic,front,hatchback
9650,TOYOTA,COROLLA,2015,190000,1.4,diesel,manual,front,sedan
17390,FORD,KUGA,2017,80500,1.5,diesel,automatic,front,crossover
13500,NISSAN,JUKE,2017,59000,1.5,diesel,manual,front,crossover
14990,FORD,KUGA,2017,176700,1.5,diesel,automatic,front,crossover
14450,NISSAN,QASHQAI,2016,159500,1.5,diesel,manual,front,suv
15290,SKODA,OCTAVIA,2020,126700,1.6,benzin,manual,front,hatchback
31499,MERCEDES,E-CLASS,2017,130120,2.1,diesel,automatic,rear,sedan
9999,CHEVROLET,CRUZE,2016,96500,1.4,benzin,automatic,front,sedan
19990,DS,3 CROSSBACK,2020,20,1.1,benzin,automatic,front,crossover
11900,RENAULT,CAPTUR,2015,125900,1.4,diesel,automatic,front,suv
17500,SKODA,SUPERB,2018,164000,1.6,diesel,automatic,front,sedan
19400,MERCEDES,VITO,2016,247000,2.2,diesel,manual,4x4,minivan
24300,TOYOTA,RAV4,2018,56200,2.5,hybrid,automatic,4x4,crossover
10800,HYUNDAI,IONIQ,2018,68600,1.6,hybrid,automatic,front,hatchback
20499,KIA,CARNIVAL,2017,141000,2.1,diesel,automatic,front,minivan
18699,HYUNDAI,SANTA FE,2016,150000,1.9,diesel,automatic,front,suv
17700,HONDA,ACCORD,2019,59712,1.5,benzin,automatic,front,sedan
7190,RENAULT,MEGANE,2015,176000,1.5,diesel,manual,front,hatchback
7890,VOLKSWAGEN,JETTA,2016,187,1.4,benzin,automatic,front,sedan
10500,VOLKSWAGEN,PASSAT,2016,142,1.8,benzin,automatic,front,sedan
13948,BMW,2 SERIES,2016,152000,1.5,diesel,automatic,front,hatchback
14700,ZOTYE,T500,2019,24000,1.6,benzin,automatic,front,crossover
13500,SKODA,SUPERB,2015,200000,2,diesel,automatic,front,sedan
34777,MERCEDES,GLC,2016,131000,2.4,diesel,automatic,4x4,crossover
10200,TOYOTA,AURIS,2016,147000,1.4,diesel,manual,front,universal
10900,TOYOTA,COROLLA,2016,148000,1.4,diesel,manual,front,sedan
17999,PEUGEOT,3008,2018,160000,1.5,diesel,automatic,front,crossover
19990,BMW,4 SERIES,2015,160000,2,benzin,automatic,rear,sedan
20900,BMW,5 SERIES,2015,190000,2,diesel,automatic,4x4,sedan
12950,TOYOTA,AURIS,2015,169000,1.8,hybrid,cvt,front,universal
14200,DACIA,DUSTER,2018,3237,1.5,diesel,manual,front,crossover
15450,RENAULT,TRAFIC,2015,172000,1.6,diesel,manual,front,minivan
11800,TOYOTA,COROLLA,2016,154321,1.3,diesel,manual,front,sedan
13900,RENAULT,KADJAR,2016,164000,1.5,diesel,automatic,front,crossover
43000,TOYOTA,HIGHLANDER,2020,3000,2.5,hybrid,automatic,4x4,crossover
14499,RENAULT,KADJAR,2016,150000,1.5,diesel,automatic,front,suv
21700,VOLKSWAGEN,CARAVELLE,2016,187000,2,diesel,automatic,front,minivan
27000,AUDI,A4,2017,94000,1.9,benzin,automatic,4x4,sedan
17300,FORD,EDGE,2015,102000,1.9,benzin,automatic,4x4,suv
8500,TOYOTA,PRIUS C,2015,77000,1.5,hybrid,automatic,front,hatchback
16900,TOYOTA,AVALON,2017,170000,2.5,hybrid,automatic,front,crossover
11900,HYUNDAI,ELANTRA,2018,60000,2,benzin,automatic,front,sedan
17500,TOYOTA,PRIUS V,2017,28600,1.8,hybrid,automatic,front,wagon
15999,BMW,2 SERIES,2018,155000,1.5,diesel,automatic,front,universal
42900,JEEP,WRANGLER,2018,26000,2,benzin,automatic,4x4,suv
23900,LEXUS,GS,2015,43000,2,benzin,automatic,rear,sedan
12900,VOLKSWAGEN,JETTA,2019,28000,1.4,benzin,automatic,front,sedan
21500,BMW,5 SERIES,2016,71000,2,benzin,automatic,4x4,sedan
19500,MINI,COUNTRYMAN,2019,44000,1.5,benzin,automatic,front,crossover
14200,TOYOTA,COROLLA,2018,95000,1.8,benzin,automatic,front,sedan
24499,MERCEDES,E-CLASS,2017,192000,2,diesel,automatic,rear,sedan
19500,MINI,COUNTRYMAN,2019,44000,1.5,benzin,automatic,front,suv
12700,NISSAN,JUKE,2015,85000,1.6,benzin,automatic,front,crossover
18500,MERCEDES,GLA,2017,160000,1.5,diesel,automatic,front,crossover
10950,MERCEDES,B CLASS,2015,18,1.4,diesel,automatic,front,universal
15490,NISSAN,QASHQAI,2018,134000,1.5,diesel,manual,front,crossover
22499,MERCEDES,GLA,2015,33964,1.6,benzin,automatic,front,crossover
9450,FORD,FOCUS,2016,165000,1.5,diesel,automatic,front,universal
13800,VOLKSWAGEN,PASSAT,2017,100000,2,benzin,automatic,front,sedan
13200,LEXUS,CT,2015,42000,1.8,hybrid,automatic,front,hatchback
19599,TOYOTA,C-HR,2016,127000,1.8,hybrid,automatic,front,crossover
16800,MERCEDES,E-CLASS,2016,224555,2.2,diesel,cvt,rear,universal
13990,NISSAN,QASHQAI,2017,161200,1.5,diesel,manual,front,crossover
7990,FORD,FOCUS,2016,163000,1.5,diesel,manual,front,universal
31999,MERCEDES,GLC,2017,63401,2,hybrid,automatic,4x4,crossover
31999,MERCEDES,M-CLASS,2015,112285,2.2,diesel,automatic,4x4,crossover
37500,MERCEDES,GLC COUPE,2017,175000,2.2,diesel,automatic,4x4,crossover
19699,MITSUBISHI,OUTLANDER,2015,,2,hybrid,automatic,4x4,crossover
19999,TOYOTA,CAMRY,2018,80000,2.5,benzin,automatic,front,sedan
24999,LEXUS,GS,2015,47000,2,benzin,automatic,rear,sedan
21000,BMW,X3,2016,190540,2,diesel,manual,4x4,suv
12490,HONDA,CIVIC,2015,104000,2,benzin,automatic,front,sedan
10900,DACIA,DUSTER,2015,174000,1.5,diesel,manual,front,suv
10000,TOYOTA,COROLLA,2019,20310,1.8,benzin,automatic,front,sedan
13000,MINI,COOPER,2019,26258,1.5,benzin,automatic,front,hatchback
15500,HYUNDAI,TUCSON,2019,19313,2,benzin,automatic,front,crossover
12500,HONDA,CIVIC,2017,37205,2,benzin,automatic,front,sedan
10500,TOYOTA,COROLLA,2019,,2,benzin,automatic,front,hatchback
12000,TOYOTA,COROLLA,2020,15349,1.8,benzin,automatic,front,sedan
29000,BMW,3 SERIES,2020,10596,2,benzin,automatic,rear,sedan
25000,VOLVO,XC 60,2018,13300,2,benzin,automatic,4x4,crossover
14500,HONDA,ACCORD,2019,34280,1.5,benzin,automatic,front,sedan
12000,TOYOTA,COROLLA,2020,14063,1.8,benzin,automatic,front,sedan
19500,HYUNDAI,SANTA FE,2019,19409,2,benzin,automatic,front,crossover
7990,KIA,PRIDE,2015,119065,1.3,benzin,automatic,front,hatchback
15690,KIA,SORENTO,2015,109000,2.4,benzin,automatic,4x4,crossover
9750,RENAULT,MEGANE,2016,240000,1.5,diesel,automatic,front,universal
40299,BMW,X5,2015,180000,2.9,diesel,automatic,4x4,crossover
30500,INFINITI,QX50,2019,9500,1.9,benzin,automatic,4x4,crossover
27900,GMC,TERRAIN,2019,1800,1.9,benzin,automatic,4x4,crossover
17650,PEUGEOT,3008,2018,140800,1.5,diesel,automatic,front,crossover
19999,MERCEDES,C CLASS,2015,225,1.6,diesel,automatic,rear,sedan
9599,DACIA,DUSTER,2015,102500,1.5,diesel,manual,front,crossover
12500,RENAULT,TALISMAN,2016,55000,1.5,diesel,manual,front,sedan
10600,VOLKSWAGEN,JETTA,2016,70000,1.4,benzin,automatic,front,sedan
14250,OPEL,CORSA,2021,6000,1.2,benzin,automatic,front,hatchback
15500,TOYOTA,PRIUS,2018,19000,1.8,hybrid,cvt,front,hatchback
24000,SKODA,SUPERB,2017,105000,2,benzin,automatic,4x4,sedan
14200,SKODA,OCTAVIA,2016,215000,1.6,diesel,automatic,front,sedan
7000,UAZ,469,2020,1111111,3,diesel,manual,4x4,suv
15550,SKODA,SUPERB,2016,189000,1.6,diesel,automatic,front,sedan
10800,RENAULT,CAPTUR,2016,145000,1.5,diesel,automatic,front,crossover
13700,RENAULT,KADJAR,2015,170000,1.5,diesel,automatic,front,crossover
8800,SKODA,FABIA,2018,155300,1.4,diesel,manual,front,universal
15500,FORD,FUSION,2019,70100,2,hybrid,cvt,front,sedan
17400,FORD,FUSION,2019,49500,2,hybrid,automatic,rear,sedan
13300,RENAULT,GRAND SCENIC,2017,134000,1.5,diesel,automatic,front,minivan
11500,FORD,C-MAX,2018,163000,1.5,diesel,automatic,front,universal
17500,VOLVO,S60,2017,169000,2,diesel,automatic,front,sedan
18500,TOYOTA,RAV4,2015,260000,2.5,hybrid,automatic,front,crossover
34990,LEXUS,GS,2016,85000,3.5,hybrid,automatic,rear,sedan
9200,RENAULT,GRAND SCENIC,2015,160750,1.5,diesel,automatic,front,minivan
9499,FORD,FOCUS,2017,145000,1.5,diesel,automatic,front,universal
12999,SKODA,OCTAVIA,2016,165000,1.9,diesel,automatic,front,wagon
9299,VOLKSWAGEN,PASSAT,2015,139000,1.8,benzin,automatic,front,sedan
17600,VOLVO,XC 60,2016,205425,2,diesel,manual,front,crossover
20500,OPEL,VIVARO,2018,148000,1.6,diesel,manual,front,wagon
9499,VOLKSWAGEN,GOLF,2015,117000,1.8,benzin,automatic,front,hatchback
9290,FORD,FOCUS,2016,182300,1.5,diesel,manual,front,universal
15999,RENAULT,GRAND SCENIC,2017,161000,1.5,diesel,automatic,front,universal
12200,NISSAN,QASHQAI,2016,194400,1.5,diesel,manual,front,suv
16299,TOYOTA,COROLLA,2018,21387,2,benzin,automatic,front,hatchback
33499,BMW,5 SERIES,2017,111000,2,diesel,automatic,rear,sedan
13199,AUDI,A3,2015,75000,1.8,benzin,automatic,front,sedan
16999,NISSAN,X-TRAIL,2015,141000,1.6,diesel,automatic,front,suv
15100,RENAULT,GRAND ESPACE,2016,,1.6,diesel,automatic,front,minivan
15490,RENAULT,KADJAR,2018,112900,1.5,diesel,automatic,front,crossover
14790,NISSAN,QASHQAI,2015,129200,1.5,diesel,manual,front,crossover
9199,FORD,FUSION,2015,169400,1.4,benzin,automatic,front,sedan
8399,FORD,FIESTA,2017,57000,1.6,benzin,automatic,front,sedan
6970,FORD,FIESTA,2016,149000,1.4,diesel,manual,front,universal
12000,RENAULT,ZOE,2018,49,1,electric,automatic,front,hatchback
14950,RENAULT,KADJAR,2015,86000,1.5,diesel,automatic,front,suv
14900,RENAULT,KADJAR,2015,146000,1.5,diesel,automatic,front,suv
15999,FORD,KUGA,2019,163297,1.5,benzin,automatic,front,crossover
14499,MERCEDES,A-CLASS,2017,146618,1.5,diesel,automatic,front,hatchback
13400,RENAULT,MEGANE,2018,186000,1.5,diesel,automatic,front,universal
7800,SKODA,FABIA,2016,195000,1.4,diesel,manual,front,universal
15500,RENAULT,KADJAR,2016,183200,1.4,diesel,automatic,front,crossover
17350,HYUNDAI,TUCSON,2015,80972,1.9,diesel,automatic,front,suv
13499,NISSAN,QASHQAI,2016,139700,1.5,diesel,manual,front,crossover
16890,NISSAN,QASHQAI,2017,144000,1.6,diesel,automatic,front,suv
11800,VOLKSWAGEN,GOLF,2016,103000,1.4,benzin,automatic,front,hatchback
18550,TOYOTA,C-HR,2017,169000,1.8,hybrid,automatic,front,suv
